,summary,Freizeit,Klima,Emotion,Wohnen,Soziales,Infrastruktur,word
+2494 chars,2.4172009582095875,0.15598859310488694,-0.0975905731975629,-0.03919873758061471,-0.1623495825717241,0.06898194486049083,0.09041771946584286,+2494 chars
brauch baum,2.8722852434913495,0.38579888740863405,-0.27008829629793357,-0.2116964606809855,-0.3348473056720948,-0.10351577823987977,-0.08208000363452793,brauch baum
Prager,3.1086566792653882,0.46546102824306196,-0.34917102823176177,-0.29077919261481355,-0.4139300376059231,-0.18259851017370818,-0.16116273556835617,Prager
baum prager,3.1086566792653882,0.46546102824306196,-0.34917102823176177,-0.29077919261481355,-0.4139300376059231,-0.18259851017370818,-0.16116273556835617,baum prager
prager weihnachtsmarkt,3.6864560333392435,0.6015967642787541,-0.5196459032592724,-0.4612540676423243,-0.5844049126334337,-0.3530733852012188,-0.33163761059586677,prager weihnachtsmarkt
Lausitzer,2.744831675099419,0.3338334540291142,-0.22470008381399306,-0.16630824819704476,-0.28945909318815427,-0.05812756575593929,-0.03669179115058729,Lausitzer
komm lausitzer,2.744831675099419,0.3338334540291142,-0.22470008381399306,-0.16630824819704476,-0.28945909318815427,-0.05812756575593929,-0.03669179115058729,komm lausitzer
Gebirge,2.6677062209460414,0.2984629840512689,-0.19619934118074647,-0.13780750556379842,-0.26095835055490785,-0.02962682312269271,-0.008191048517340798,Gebirge
lausitzer gebirge,2.6677062209460414,0.2984629840512689,-0.19619934118074647,-0.13780750556379842,-0.26095835055490785,-0.02962682312269271,-0.008191048517340798,lausitzer gebirge
gebirge nan,2.623849934467866,0.2768134996319028,-0.1796230111175121,-0.12123117550056398,-0.24438202049167346,-0.013050493059458481,0.008385281545893361,gebirge nan
Fahrer,5.24505831652167,0.18871823886721176,0.7437398617684464,-0.8138748559467778,-0.9370257009378873,-0.7056941735056723,-0.6842583989003204,Fahrer
stirbt,3.278621373448156,-0.5080374604760309,0.912103291725539,-0.3440115167290646,-0.4671623617201741,-0.23583083428795915,-0.21439505968260703,stirbt
fahrer sterb,3.278621373448156,-0.5080374604760309,0.912103291725539,-0.3440115167290646,-0.4671623617201741,-0.23583083428795915,-0.21439505968260703,fahrer sterb
Glatteis-Unfall,4.002776916392195,-0.7076027887617483,1.0944789729056548,-0.5435768450147822,-0.6667276900058914,-0.4353961625736764,-0.41396038796832446,Glatteis-Unfall
sterb glatteis-unfall,4.002776916392195,-0.7076027887617483,1.0944789729056548,-0.5435768450147822,-0.6667276900058914,-0.4353961625736764,-0.41396038796832446,sterb glatteis-unfall
Audi,3.1524728676525067,-0.4688016216162555,0.8668424644673448,-0.30477567786928916,-0.42792652286039856,-0.19659499542818354,-0.17515922082283178,Audi
glatteis-unfall audi,3.1524728676525067,-0.4688016216162555,0.8668424644673448,-0.30477567786928916,-0.42792652286039856,-0.19659499542818354,-0.17515922082283178,glatteis-unfall audi
schleudert,3.0894798636025085,-0.44861718721888094,0.8420004312694351,-0.2845912434719146,-0.4077420884630241,-0.176410561030809,-0.15497478642545715,schleudert
audi schleuder,3.0894798636025085,-0.44861718721888094,0.8420004312694351,-0.2845912434719146,-0.4077420884630241,-0.176410561030809,-0.15497478642545715,audi schleuder
Kleinbus,2.981501121764594,-0.4130413452319997,0.7953401049475356,-0.24901540148503332,-0.3721662464761427,-0.14083471904392772,-0.1193989444385758,Kleinbus
schleuder kleinbus,2.981501121764594,-0.4130413452319997,0.7953401049475356,-0.24901540148503332,-0.3721662464761427,-0.14083471904392772,-0.1193989444385758,schleuder kleinbus
kleinbus kind,2.925182579088566,-0.39397133834633763,0.7686750649613895,-0.22994539459937138,-0.3530962395904807,-0.12176471215826579,-0.1003289375529139,kleinbus kind
kind ein,2.901640693363455,-0.3858907727542357,0.7570000009696247,-0.2218648290072696,-0.34501567399837896,-0.11368414656616388,-0.09224837196081204,kind ein
Audi-Fahrer,3.7323704133925526,-0.6376579707897905,1.0382432520080698,-0.4736320270428242,-0.5967828720339335,-0.36545134460171863,-0.34401556999636673,Audi-Fahrer
ein audi-fahrer,3.7323704133925526,-0.6376579707897905,1.0382432520080698,-0.4736320270428242,-0.5967828720339335,-0.36545134460171863,-0.34401556999636673,ein audi-fahrer
audi-fahrer montag,3.5605407897059793,-0.5905268799573448,0.9960406526458662,-0.4265009362103784,-0.5496517812014878,-0.3183202537692727,-0.2968844791639208,audi-fahrer montag
schneeglatten,3.451712527572905,-0.5594849320981848,0.9660752555506836,-0.3954589883512187,-0.5186098333423281,-0.287278305910113,-0.26584253130476104,schneeglatten
montag schneeglatt,2.8494340520288093,-0.36773483573514376,0.7299013969830093,-0.2037088919881775,-0.3268597369792868,-0.09552820954707174,-0.07409243494171978,montag schneeglatt
Talbrücke,3.418700350637782,-0.5498749038266925,0.9564186206435116,-0.3858489600797263,-0.5089998050708355,-0.2776682776386205,-0.25623250303326867,Talbrücke
schneeglatt talbrücke,3.418700350637782,-0.5498749038266925,0.9564186206435116,-0.3858489600797263,-0.5089998050708355,-0.2776682776386205,-0.25623250303326867,schneeglatt talbrücke
Hembsen,3.4029588357298945,-0.5452597383900495,0.9517143118383613,-0.381233794643083,-0.5043846396341926,-0.27305311220197753,-0.2516173375966256,Hembsen
talbrücke hembsen,3.4029588357298945,-0.5452597383900495,0.9517143118383613,-0.381233794643083,-0.5043846396341926,-0.27305311220197753,-0.2516173375966256,talbrücke hembsen
Brakel,4.42754748243133,-0.8084602544606574,1.1643902714002752,-0.6444343107136912,-0.7675851557048006,-0.5362536282725854,-0.5148178536672336,Brakel
hembsen brakel,3.417656041917403,-0.5495693876515442,0.9561085556436294,-0.3855434439045777,-0.5086942888956872,-0.2773627614634721,-0.2559269868581203,hembsen brakel
Wagen,3.6367949427486037,0.09801723230323675,0.5905035960366155,-0.4476912792003024,-0.5708421241914119,-0.3395105967591966,-0.3180748221538448,Wagen
brakel wagen,2.9737639221309036,-0.4104429037083868,0.7917779152754972,-0.24641695996142063,-0.36956780495253005,-0.1382362775203149,-0.11680050291496315,brakel wagen
Gegenverkehr,3.0502116351183686,-0.43582541618480314,0.8256621624574741,-0.2717994724378369,-0.3949503174289463,-0.16361878999673135,-0.14218301539137948,Gegenverkehr
wagen gegenverkehr,3.0502116351183686,-0.43582541618480314,0.8256621624574741,-0.2717994724378369,-0.3949503174289463,-0.16361878999673135,-0.14218301539137948,wagen gegenverkehr
geschleudert,3.1581717984694118,-0.47060775479840533,0.8690115841017066,-0.3065818110514391,-0.42973265604254846,-0.19840112861033343,-0.1769653540049814,geschleudert
gegenverkehr schleuder,3.1581717984694118,-0.47060775479840533,0.8690115841017066,-0.3065818110514391,-0.42973265604254846,-0.19840112861033343,-0.1769653540049814,gegenverkehr schleuder
brakel nrw,3.5612845163691222,-0.590735738398512,0.9962361705486937,-0.4267097946515458,-0.5498606396426551,-0.3185291122104401,-0.2970933376050882,brakel nrw
wintereinbruch nrw,3.5612845163691222,-0.590735738398512,0.9962361705486937,-0.4267097946515458,-0.5498606396426551,-0.3185291122104401,-0.2970933376050882,wintereinbruch nrw
erstes,3.8916384750100117,-0.4413898455383347,0.989883709815328,-0.5154187664142283,-0.6385696114053377,-0.4072380839731227,-0.3858023093677708,erstes
nrw erst,3.7191981305852453,-0.6341225281645276,1.035205891811995,-0.47009658441756125,-0.5932474294086709,-0.3619159019764558,-0.3404801273711038,nrw erst
Glatteis-Todesopfer,4.248312539114441,-0.767136293880481,1.1371780740498554,-0.6031103501335148,-0.7262611951246243,-0.4949296676924092,-0.4734938930870572,Glatteis-Todesopfer
erst glatteis-todesopfer,4.248312539114441,-0.767136293880481,1.1371780740498554,-0.6031103501335148,-0.7262611951246243,-0.4949296676924092,-0.4734938930870572,erst glatteis-todesopfer
gefordert,3.298917918309834,-0.5142089505671968,0.9188840441659305,-0.35018300682023046,-0.4733338518113398,-0.24200232437912497,-0.220566549773773,gefordert
glatteis-todesopfer forder,3.298917918309834,-0.5142089505671968,0.9188840441659305,-0.35018300682023046,-0.4733338518113398,-0.24200232437912497,-0.220566549773773,glatteis-todesopfer forder
7.45,2.9038050722366466,-0.386636410233547,0.758087023226718,-0.22261046648658073,-0.34576131147769007,-0.11442978404547509,-0.09299400944012315,7.45
montag 7.45,2.9038050722366466,-0.386636410233547,0.758087023226718,-0.22261046648658073,-0.34576131147769007,-0.11442978404547509,-0.09299400944012315,montag 7.45
7.45 uhr,2.885631802910286,-0.38035831120279723,0.7488718304406624,-0.21633236745583104,-0.3394832124469404,-0.10815168501472534,-0.08671591040937347,7.45 uhr
uhr schneeglatt,2.8472304018746866,-0.3669611723811331,0.7287190655840466,-0.20293522863416688,-0.32608607362527625,-0.09475454619306121,-0.0733187715877093,uhr schneeglatt
Ostwestf…,2.743381677215384,-0.32980578758919077,0.6690683742772867,-0.16577984384222455,-0.28893068883333395,-0.05759916140111896,-0.03616338679576688,Ostwestf…
brakel ostwestf…,2.743381677215384,-0.32980578758919077,0.6690683742772867,-0.16577984384222455,-0.28893068883333395,-0.05759916140111896,-0.03616338679576688,brakel ostwestf…
+704,2.7250252233030468,-0.32309212373972573,0.65765144389138,-0.15906617999275946,-0.28221702498386897,-0.050885497551653947,-0.029449722946301934,+704
ostwestf… +704,2.7250252233030468,-0.32309212373972573,0.65765144389138,-0.15906617999275946,-0.28221702498386897,-0.050885497551653947,-0.029449722946301934,ostwestf… +704
+704 chars,2.717252144312568,-0.32023556801826697,0.6527303731099637,-0.15620962427130078,-0.27936046926241026,-0.048028941830195106,-0.026593167224843225,+704 chars
